Date,Emails Sent,Daily Average,Average Year
43857,15,20.2,17.71604938
43858,27,20.2,17.71604938
43859,24,20.2,17.71604938
43860,18,20.2,17.71604938
43861,17,20.2,17.71604938
43868,11,11,17.71604938
43871,20,20.2,17.71604938
43872,24,20.2,17.71604938
43873,23,20.2,17.71604938
43874,24,20.2,17.71604938
43875,10,20.2,17.71604938
43879,33,26.75,17.71604938
43880,26,26.75,17.71604938
43881,31,26.75,17.71604938
43882,17,26.75,17.71604938
43885,15,18.8,17.71604938
43886,24,18.8,17.71604938
43887,16,18.8,17.71604938
43888,18,18.8,17.71604938
43889,21,18.8,17.71604938
43892,25,16.6,17.71604938
43893,15,16.6,17.71604938
43894,13,16.6,17.71604938
43895,21,16.6,17.71604938
43896,9,16.6,17.71604938
43899,19,17.6,17.71604938
43900,25,17.6,17.71604938
43901,22,17.6,17.71604938
43902,13,17.6,17.71604938
43903,9,17.6,17.71604938
43906,20,20,17.71604938
43907,23,20,17.71604938
43908,31,20,17.71604938
43909,22,20,17.71604938
43910,4,20,17.71604938
43913,28,29.4,17.71604938
43914,36,29.4,17.71604938
43915,37,29.4,17.71604938
43916,29,29.4,17.71604938
43917,17,29.4,17.71604938
43920,18,11.8,17.71604938
43921,17,11.8,17.71604938
43922,9,11.8,17.71604938
43923,7,11.8,17.71604938
43924,8,11.8,17.71604938
43927,22,16.2,17.71604938
43928,15,16.2,17.71604938
43929,27,16.2,17.71604938
43930,14,16.2,17.71604938
43931,3,16.2,17.71604938
43934,12,16,17.71604938
43935,22,16,17.71604938
43936,15,16,17.71604938
43937,20,16,17.71604938
43938,11,16,17.71604938
43941,20,24,17.71604938
43942,26,24,17.71604938
43943,33,24,17.71604938
43944,30,24,17.71604938
43945,11,24,17.71604938
43948,20,21,17.71604938
43949,17,21,17.71604938
43950,14,21,17.71604938
43951,40,21,17.71604938
43952,14,21,17.71604938
43955,30,27.2,17.71604938
43956,28,27.2,17.71604938
43957,35,27.2,17.71604938
43958,39,27.2,17.71604938
43959,4,27.2,17.71604938
43962,12,17.4,17.71604938
43963,12,17.4,17.71604938
43964,20,17.4,17.71604938
43965,22,17.4,17.71604938
43966,21,17.4,17.71604938
43969,18,17.2,17.71604938
43970,23,17.2,17.71604938
43971,22,17.2,17.71604938
43972,10,17.2,17.71604938
43973,13,17.2,17.71604938
43976,3,18.6,17.71604938
43977,20,18.6,17.71604938
43978,25,18.6,17.71604938
43979,26,18.6,17.71604938
43980,19,18.6,17.71604938
43983,13,15.4,17.71604938
43984,17,15.4,17.71604938
43985,13,15.4,17.71604938
43986,22,15.4,17.71604938
43987,12,15.4,17.71604938
43990,21,21.4,17.71604938
43991,33,21.4,17.71604938
43992,23,21.4,17.71604938
43993,12,21.4,17.71604938
43994,18,21.4,17.71604938
43997,23,21.8,17.71604938
43998,27,21.8,17.71604938
43999,18,21.8,17.71604938
44000,31,21.8,17.71604938
44001,10,21.8,17.71604938
44004,16,17.6,17.71604938
44005,23,17.6,17.71604938
44006,13,17.6,17.71604938
44007,20,17.6,17.71604938
44008,16,17.6,17.71604938
44011,18,16.6,17.71604938
44012,22,16.6,17.71604938
44013,21,16.6,17.71604938
44014,18,16.6,17.71604938
44015,4,16.6,17.71604938
44018,14,19.4,17.71604938
44019,16,19.4,17.71604938
44020,32,19.4,17.71604938
44021,27,19.4,17.71604938
44022,8,19.4,17.71604938
44025,25,9.8,17.71604938
44026,3,9.8,17.71604938
44027,7,9.8,17.71604938
44028,8,9.8,17.71604938
44029,6,9.8,17.71604938
44032,9,11.8,17.71604938
44033,9,11.8,17.71604938
44034,12,11.8,17.71604938
44035,23,11.8,17.71604938
44036,6,11.8,17.71604938
44039,21,17.4,17.71604938
44040,19,17.4,17.71604938
44041,14,17.4,17.71604938
44042,17,17.4,17.71604938
44043,16,17.4,17.71604938
44046,9,16.4,17.71604938
44047,10,16.4,17.71604938
44048,34,16.4,17.71604938
44049,19,16.4,17.71604938
44050,10,16.4,17.71604938
44053,14,11,17.71604938
44054,15,11,17.71604938
44055,9,11,17.71604938
44056,10,11,17.71604938
44057,7,11,17.71604938
44060,28,17.2,17.71604938
44061,15,17.2,17.71604938
44062,20,17.2,17.71604938
44063,13,17.2,17.71604938
44064,10,17.2,17.71604938
44067,14,15.2,17.71604938
44068,19,15.2,17.71604938
44069,14,15.2,17.71604938
44070,21,15.2,17.71604938
44071,8,15.2,17.71604938
