City,Count,Lat,Long
Houston,1343,29.760427,-95.369804
London,1290,51.507351,-0.127758
Sydney,1085,-33.86882,151.20929
Gurugram,892,28.459497,77.026634
Christchurch,883,-45,175
New York,406,40,-75
Sao Paulo,143,-23,-46
Singapore,123,0,105
Hong Kong,108,22,115
Paris,100,48,2
Minneapolis,68,45,-95
Tokyo,34,35,140
Beijing,33,40,115
Calgary,23,50,-115
Mexico City,16,20,-100
Geneva,14,45,5
Manila,13,15,120
Luxembourg,9,50,5
Jacksonville,7,30,-80
Dubai,6,25,55
Melbourne,6,-40,145
Brisbane,2,-25,155
Dublin,1,55,-5
